np,omp_threads,mode,grid,iters,repeat,runtime_s
1,2,decrypt,512,500,1,0.333473
1,2,encrypt,512,1000,1,0.675439
1,2,decrypt,512,1000,1,0.671707
1,2,encrypt,512,2000,1,1.343511
1,2,decrypt,512,2000,1,1.323037
1,2,encrypt,1024,500,1,1.343534
1,2,decrypt,1024,500,1,1.330081
1,2,encrypt,1024,1000,1,2.660748
1,2,decrypt,1024,1000,1,2.631543
1,2,encrypt,1024,2000,1,5.292860
1,2,decrypt,1024,2000,1,5.221690
1,4,encrypt,64,500,1,0.013062
1,4,decrypt,64,500,1,0.012962
1,4,encrypt,64,1000,1,0.026754
1,4,decrypt,64,1000,1,0.025288
1,4,encrypt,64,2000,1,0.053380
1,4,decrypt,64,2000,1,0.050459
1,4,encrypt,128,500,1,0.022600
1,4,decrypt,128,500,1,0.022099
1,4,encrypt,128,1000,1,0.047094
1,4,decrypt,128,1000,1,0.044838
1,4,encrypt,128,2000,1,0.090150
1,4,decrypt,128,2000,1,0.089862
1,4,encrypt,256,500,1,0.058090
1,4,decrypt,256,500,1,0.055000
1,4,encrypt,256,1000,1,0.110870
1,4,decrypt,256,1000,1,0.110383
1,4,encrypt,256,2000,1,0.218337
1,4,decrypt,256,2000,1,0.210809
1,4,encrypt,512,500,1,0.189560
1,4,decrypt,512,500,1,0.181821
1,4,encrypt,512,1000,1,0.367177
1,4,decrypt,512,1000,1,0.371024
1,4,encrypt,512,2000,1,0.722214
1,4,decrypt,512,2000,1,0.736790
1,4,encrypt,1024,500,1,0.713566
1,4,decrypt,1024,500,1,0.699808
1,4,encrypt,1024,1000,1,1.385771
1,4,decrypt,1024,1000,1,1.368889
1,4,encrypt,1024,2000,1,2.772543
1,4,decrypt,1024,2000,1,2.773127
1,6,encrypt,64,500,1,0.020834
1,6,decrypt,64,500,1,0.020435
1,6,encrypt,64,1000,1,0.034344
1,6,decrypt,64,1000,1,0.036141
1,6,encrypt,64,2000,1,0.069188
1,6,decrypt,64,2000,1,0.070558
1,6,encrypt,128,500,1,0.028154
1,6,decrypt,128,500,1,0.026137
1,6,encrypt,128,1000,1,0.051931
1,6,decrypt,128,1000,1,0.053148
1,6,encrypt,128,2000,1,0.106316
1,6,decrypt,128,2000,1,0.099771
1,6,encrypt,256,500,1,0.049235
1,6,decrypt,256,500,1,0.049178
1,6,encrypt,256,1000,1,0.096104
1,6,decrypt,256,1000,1,0.090972
1,6,encrypt,256,2000,1,0.182486
1,6,decrypt,256,2000,1,0.181980
1,6,encrypt,512,500,1,0.135996
1,6,decrypt,512,500,1,0.133202
1,6,encrypt,512,1000,1,0.262665
1,6,decrypt,512,1000,1,0.270869
1,6,encrypt,512,2000,1,0.572168
1,6,decrypt,512,2000,1,0.518230
1,6,encrypt,1024,500,1,0.479878
1,6,decrypt,1024,500,1,0.480479
1,6,encrypt,1024,1000,1,0.965625
1,6,decrypt,1024,1000,1,0.936372
