np,omp_threads,mode,grid,runtime_s
4,1,decrypt,32,0.0405
4,2,encrypt,64,0.065815
16,2,decrypt,128,0.112075
16,2,decrypt,256,0.158822
32,2,decrypt,1024,0.846451
32,2,decrypt,2048,2.902956
32,2,decrypt,4096,10.931473
