np,omp_threads,mode,grid,iters,repeat,runtime_s
1,1,encrypt,32,1000,1,0.074032
1,1,decrypt,32,1000,1,0.049476
1,1,encrypt,32,10000,1,0.250008
1,1,decrypt,32,10000,1,0.206081
1,1,encrypt,64,1000,1,0.122185
1,1,decrypt,64,1000,1,0.106780
1,1,encrypt,64,10000,1,0.576629
1,1,decrypt,64,10000,1,0.479135
1,1,encrypt,128,1000,1,0.253633
1,1,decrypt,128,1000,1,0.228004
1,1,encrypt,128,10000,1,1.892612
1,1,decrypt,128,10000,1,1.676408
1,1,encrypt,256,1000,1,0.798267
1,1,decrypt,256,1000,1,0.738514
1,1,encrypt,256,10000,1,7.258346
1,1,decrypt,256,10000,1,6.796830
1,1,encrypt,1024,1000,1,11.491184
1,1,decrypt,1024,1000,1,10.694534
1,1,encrypt,1024,10000,1,114.269624
1,1,decrypt,1024,10000,1,106.085880
1,1,encrypt,2048,1000,1,45.664777
1,1,decrypt,2048,1000,1,42.616703
1,1,encrypt,2048,10000,1,454.719849
1,1,decrypt,2048,10000,1,425.156208
1,1,encrypt,4096,1000,1,182.939446
1,1,decrypt,4096,1000,1,171.776028
1,1,encrypt,4096,10000,1,1821.418014
1,1,decrypt,4096,10000,1,1712.245447
1,1,encrypt,8192,1000,1,735.819620
1,1,decrypt,8192,1000,1,688.004708
1,1,encrypt,8192,10000,1,7269.709662
1,1,decrypt,8192,10000,1,6838.408330
1,2,encrypt,32,1000,1,0.176142
1,2,decrypt,32,1000,1,0.044914
1,2,encrypt,32,10000,1,0.185413
1,2,decrypt,32,10000,1,0.156049
1,2,encrypt,64,1000,1,0.064318
1,2,decrypt,64,1000,1,0.072823
1,2,encrypt,64,10000,1,0.465463
1,2,decrypt,64,10000,1,0.400100
1,2,encrypt,128,1000,1,0.198946
1,2,decrypt,128,1000,1,0.174298
1,2,encrypt,128,10000,1,1.577101
1,2,decrypt,128,10000,1,1.400907
1,2,encrypt,256,1000,1,0.649585
1,2,decrypt,256,1000,1,0.592894
1,2,encrypt,256,10000,1,6.035414
1,2,decrypt,256,10000,1,5.517324
1,2,encrypt,1024,1000,1,9.463410
1,2,decrypt,1024,1000,1,8.728863
1,2,encrypt,1024,10000,1,94.235390
1,2,decrypt,1024,10000,1,86.469971
1,2,encrypt,2048,1000,1,37.784816
1,2,decrypt,2048,1000,1,34.595437
1,2,encrypt,2048,10000,1,375.602494
1,2,decrypt,2048,10000,1,344.817793
1,2,encrypt,4096,1000,1,150.706855
1,2,decrypt,4096,1000,1,138.233356
1,2,encrypt,4096,10000,1,1502.652737
1,1,encrypt,32,1000,1,0.149758
1,1,decrypt,32,1000,1,0.029100
1,1,encrypt,32,5000,1,0.164880
1,1,decrypt,32,5000,1,0.084765
1,1,encrypt,64,1000,1,0.071757
1,1,decrypt,64,1000,1,0.108011
1,1,encrypt,64,5000,1,0.329508
1,1,decrypt,64,5000,1,0.225127
1,1,encrypt,128,1000,1,0.254861
1,1,decrypt,128,1000,1,0.226663
1,1,encrypt,128,5000,1,0.979686
1,1,decrypt,128,5000,1,0.866808
1,1,encrypt,256,1000,1,0.795940
1,1,decrypt,256,1000,1,0.735228
1,1,encrypt,256,5000,1,3.680208
1,1,decrypt,256,5000,1,3.400794
1,1,encrypt,1024,1000,1,11.476512
1,1,decrypt,1024,1000,1,10.800464
1,1,encrypt,1024,5000,1,57.126443
1,1,decrypt,1024,5000,1,53.385255
1,1,encrypt,2048,1000,1,45.837604
1,1,decrypt,2048,1000,1,42.699125
1,1,encrypt,2048,5000,1,227.842873
1,1,decrypt,2048,5000,1,212.453397
1,1,encrypt,4096,1000,1,182.432470
1,1,decrypt,4096,1000,1,172.107695
1,1,encrypt,4096,5000,1,909.882835
1,1,decrypt,4096,5000,1,855.628313
1,2,encrypt,32,1000,1,0.170830
1,2,decrypt,32,1000,1,0.043761
1,2,encrypt,32,5000,1,0.095280
1,2,decrypt,32,5000,1,0.098640
1,2,encrypt,64,1000,1,0.087912
1,2,decrypt,64,1000,1,0.072899
1,2,encrypt,64,5000,1,0.252753
1,2,decrypt,64,5000,1,0.217592
1,2,encrypt,128,1000,1,0.198421
1,2,decrypt,128,1000,1,0.174321
1,2,encrypt,128,5000,1,0.806355
1,2,decrypt,128,5000,1,0.698906
1,2,encrypt,256,1000,1,0.651946
1,2,decrypt,256,1000,1,0.564479
1,2,encrypt,256,5000,1,3.039668
1,2,decrypt,256,5000,1,2.774155
1,2,encrypt,1024,1000,1,9.519572
